Description__c,Name,Type__c
,Technical Architect Certification,Certification
,AppExchange,Salesforce Feature
,Apex,Salesforce Feature
,APIs,Salesforce Feature
,Bots,Salesforce Feature
,Big Objects,Salesforce Feature
,Blockchain,Salesforce Feature
,CDC (Change Data Capture),Salesforce Feature
,Custom Objects,Salesforce Feature
,Data Mask,Salesforce Feature
,Einstein Language,Salesforce Feature
,Einstein Vision,Salesforce Feature
,employee experience bundle?,
,Einstein Voice Builder,Salesforce Feature
,Evergreen,Salesforce Feature
,Event Monitoring,Salesforce Feature
,External Objects,Salesforce Feature
,External Services,Salesforce Feature
,Field Audit Trail,Salesforce Feature
,Flow Builder,Salesforce Feature
,Heroku Connect,Salesforce Feature
,Heroku Elements,Salesforce Feature
,Heroku Kafka,Salesforce Feature
,Heroku Pipelines,Salesforce Feature
,Heroku Postgres,Salesforce Feature
,Heroku Private Spaces/Shield,Salesforce Feature
,Identity,Salesforce Feature
,LEA-Customers,Salesforce Feature
,LEA-Partners,Salesforce Feature
,Lightning App Builder,Salesforce Feature
,Lightning Experience,Salesforce Feature
,Lightning Sandbox,Salesforce Feature
,Lightning Web Components,Salesforce Feature
,Mobile Publisher,Salesforce Feature
,Mobile SDK,Salesforce Feature
,Object Creator,Salesforce Feature
,Permissions/Profiles,Salesforce Feature
,Platform Encryption,Salesforce Feature
,Platform Events,Salesforce Feature
,Prediction Builder,Salesforce Feature
,Process Builder,Salesforce Feature
,Quick Actions,Salesforce Feature
,Quip for Salesforce,Salesforce Feature
,Reports and Dashboards,Salesforce Feature
,Salesforce CMS,Salesforce Feature
,Salesforce DX CLI,Salesforce Feature
,Salesforce Mobile,Salesforce Feature
,Sandbox,Salesforce Feature
,Search,Salesforce Feature
,Sustainability Cloud,Salesforce Feature
,Standard Lightning Components,Salesforce Feature
,Translation/Labels,Salesforce Feature
,VSCode Extensions,Salesforce Feature
,Salesforce Release Notes,Research Topic
